s0101,s0103,s0303,s0306,s0309,s0407,s0501,s0504,s0601,s0804,s0805,s1303,s1402,s1503,s1505,s1508,s1606,s0104,s0508,s0605,s0606,s0705,s0709,s0809,s0904,s1101,s1108,s1109,s1301,s1404,s1405,s1701,s1706,s1803
0.98039317,0.999231345,0.981851891,1.037441632,1.014412304,0.970682152,0.978268568,1.007414824,1.013535779,0.864380727,0.985615766,0.963518071,1.017176938,0.958640802,1.004076033,1.020416301,0.974122031,0.996660641,0.698316007,1.032492865,0.920724649,1.005522841,0.997551324,0.919056757,0.996888802,1.0098205,0.972893641,0.977430127,1.017122023,1.013432778,1.009970082,0.989773481,1.17104521,0.948936139
0.98039317,0.999231345,0.980759731,1.036159257,1.014412304,0.968326128,0.975225742,1.007414824,1.013535779,0.859506399,0.982686744,0.96045442,1.018431163,0.955030102,1.004076033,1.022086377,0.97260234,0.997350371,0.67981757,1.032492865,0.912354425,1.005522841,0.997551324,0.915457318,0.99528866,1.008507339,0.970449184,0.974868056,1.018362416,1.013432778,1.009970082,0.988537808,1.169625761,0.94512515
0.98039317,0.997943675,0.980759731,1.034876881,1.015493767,0.967148115,0.972182916,1.006119946,1.013535779,0.853007296,0.981222234,0.95739077,1.019685389,0.953224752,1.004076033,1.022086377,0.969562957,0.998040102,0.661319133,1.03127098,0.905179947,1.006689341,0.996663032,0.911857879,0.99528866,1.007194179,0.968004728,0.971024949,1.018362416,1.013432778,1.009970082,0.988537808,1.168206312,0.941314162
0.979066522,0.996656006,0.980759731,1.033594506,1.015493767,0.967148115,0.970661503,1.007414824,1.013535779,0.848132969,0.978293212,0.954327119,1.020939614,0.949614052,1.004076033,1.022086377,0.968043266,0.998040102,0.641664543,1.030049095,0.896809723,1.005522841,0.995774741,0.907058627,0.99528866,1.003254697,0.9667825,0.967181842,1.018362416,1.014616695,1.009970082,0.986066464,1.165367415,0.937503173
0.979066522,0.996656006,0.979667571,1.032312131,1.01657523,0.965970103,0.96914009,1.007414824,1.012060472,0.841633865,0.976828701,0.951263469,1.02219384,0.946003352,1.005595059,1.022086377,0.968043266,0.998040102,0.622009953,1.030049095,0.889635246,1.006689341,0.995774741,0.903459188,0.99528866,1.003254697,0.964338043,0.963338736,1.018362416,1.014616695,1.009970082,0.984830792,1.163947966,0.932421855
0.979066522,0.996656006,0.977483251,1.032312131,1.017656693,0.963614078,0.966097264,1.007414824,1.012060472,0.836759538,0.975364191,0.946667993,1.023448066,0.942392652,1.004076033,1.020416301,0.966523575,0.998729832,0.601199212,1.02882721,0.880069275,1.006689341,0.994886449,0.899859749,0.993688517,1.001941536,0.963115815,0.958214593,1.017122023,1.014616695,1.009970082,0.982359447,1.161109068,0.929881196
0.977739874,0.995368337,0.977483251,1.02974738,1.018738156,0.962436066,0.963054438,1.006119946,1.010585165,0.830260435,0.97389968,0.943604343,1.024702291,0.938781953,1.005595059,1.022086377,0.965003884,0.998729832,0.579232317,1.02882721,0.871699051,1.006689341,0.994886449,0.895060497,0.99528866,1.000628376,0.960671359,0.951809416,1.015881631,1.014616695,1.009970082,0.979888103,1.156850722,0.924799878
0.977739874,0.994080668,0.97529893,1.028465005,1.020901082,0.961258054,0.958490199,1.006119946,1.010585165,0.825386107,0.970970658,0.940540692,1.025956517,0.933365903,1.005595059,1.020416301,0.963484193,0.998729832,0.557265423,1.02882721,0.862133081,1.006689341,0.993998158,0.891461058,0.99528866,1.000628376,0.95944913,0.946685273,1.015881631,1.014616695,1.009970082,0.977416758,1.154011825,0.91971856
0.976413225,0.992792998,0.97311461,1.02718263,1.021982545,0.958902029,0.955447373,1.006119946,1.009109858,0.822136556,0.969506147,0.935945217,1.025956517,0.926144503,1.005595059,1.022086377,0.963484193,0.998729832,0.536454681,1.02882721,0.85256711,1.006689341,0.993998158,0.887861619,0.99528866,0.998002054,0.957004674,0.940280096,1.014641238,1.014616695,1.009970082,0.973709741,1.149753479,0.914637242
0.975086577,0.992792998,0.97202245,1.024617879,1.024145471,0.957724017,0.950883134,1.007414824,1.009109858,0.818887004,0.968041637,0.932881566,1.025956517,0.918923104,1.005595059,1.020416301,0.961964502,0.998040102,0.513331634,1.02882721,0.84300114,1.006689341,0.993109866,0.883062367,0.99528866,0.998002054,0.955782446,0.932593882,1.012160452,1.014616695,1.009970082,0.968767052,1.144075684,0.908285595
0.973759928,0.992792998,0.96983813,1.022053128,1.026308397,0.955367992,0.947840308,1.006119946,1.009109858,0.815637453,0.966577126,0.92828609,1.025956517,0.911701704,1.005595059,1.022086377,0.958925119,0.998040102,0.490208588,1.030049095,0.832239423,1.006689341,0.993109866,0.878263115,0.996888802,0.996688894,0.954560218,0.924907669,1.012160452,1.013432778,1.011154103,0.963824363,1.139817337,0.900663618
0.973759928,0.99021766,0.96765381,1.020770753,1.028471323,0.95418998,0.941754656,1.006119946,1.007634551,0.814012677,0.965112615,0.92522244,1.025956517,0.904480304,1.005595059,1.020416301,0.957405428,0.998040102,0.469397846,1.030049095,0.822673453,1.006689341,0.992221575,0.874663676,0.99528866,0.995375733,0.952115761,0.91594042,1.009679667,1.014616695,1.011154103,0.960117346,1.135558991,0.89431197
0.97243328,0.988929991,0.96546949,1.018206002,1.030634249,0.951833955,0.937190417,1.007414824,1.003208631,0.814012677,0.963648104,0.922158789,1.025956517,0.897258905,1.005595059,1.020416301,0.955885737,0.998040102,0.448587104,1.032492865,0.813107483,1.006689341,0.992221575,0.868664611,0.996888802,0.994062573,0.949671305,0.906973171,1.008439274,1.014616695,1.012338125,0.955174657,1.129881196,0.886689993
0.971106632,0.985066983,0.96328517,1.016923627,1.032797175,0.94947793,0.932626178,1.006119946,1.003208631,0.812387901,0.962183593,0.917563314,1.027210742,0.888232155,1.005595059,1.018746225,0.954366046,0.997350371,0.427776362,1.032492865,0.802345766,1.006689341,0.992221575,0.865065172,0.99528866,0.992749412,0.947226848,0.898005922,1.007198882,1.013432778,1.012338125,0.951467641,1.122783952,0.879068016
0.968453335,0.985066983,0.96000869,1.014358876,1.034960101,0.948299918,0.928061939,1.007414824,1.003208631,0.810763125,0.959254572,0.911436013,1.028464968,0.881010755,1.005595059,1.020416301,0.952846355,0.997350371,0.408121772,1.032492865,0.791584049,1.006689341,0.992221575,0.861465733,0.996888802,0.991436251,0.944782392,0.887757638,1.004718096,1.013432778,1.012338125,0.945289279,1.115686709,0.86890538
0.967126686,0.983779314,0.956732209,1.011794126,1.037123027,0.947121906,0.921976287,1.008709702,1.003208631,0.810763125,0.959254572,0.908372362,1.028464968,0.873789356,1.005595059,1.020416301,0.949806972,0.994591449,0.387311031,1.032492865,0.782018079,1.006689341,0.992221575,0.856666481,0.99528866,0.990123091,0.942337936,0.876228318,1.002237311,1.013432778,1.013522146,0.941582263,1.108589465,0.861283403
0.967126686,0.981203975,0.953455729,1.009229375,1.039285954,0.944765881,0.915890635,1.008709702,1.001733324,0.809138349,0.957790061,0.903776887,1.028464968,0.868373306,1.005595059,1.020416301,0.948287281,0.994591449,0.369968746,1.03371475,0.771256362,1.006689341,0.992221575,0.851867229,0.99528866,0.98880993,0.938671251,0.865980034,0.999756525,1.013432778,1.013522146,0.936639573,1.100072773,0.852391096
0.96447339,0.979916306,0.950179249,1.007947,1.040367417,0.943587869,0.908283569,1.008709702,1.000258017,0.807513574,0.95632555,0.900713236,1.029719193,0.861151906,1.005595059,1.017076149,0.94676759,0.994591449,0.352626461,1.03371475,0.759298899,1.006689341,0.992221575,0.847067977,0.996888802,0.986183609,0.933782338,0.854450714,0.998516133,1.012248861,1.013522146,0.932932557,1.090136631,0.846039449
0.963146741,0.977340967,0.945810609,1.005382249,1.042530343,0.941231844,0.900676504,1.008709702,1.000258017,0.805888798,0.954861039,0.89611776,1.029719193,0.853930507,1.005595059,1.017076149,0.943728208,0.993901719,0.336440328,1.032492865,0.749732929,1.006689341,0.991333283,0.841068912,0.996888802,0.984870448,0.931337882,0.842921394,0.996035347,1.012248861,1.014706167,0.92922554,1.078781042,0.837147142
0.961820093,0.974765629,0.942534129,1.002817499,1.043611806,0.938875819,0.891548026,1.010004579,1.000258017,0.802639246,0.953396529,0.89305411,1.030973419,0.844903757,1.005595059,1.017076149,0.940688825,0.993211988,0.3225665,1.032492865,0.740166958,1.006689341,0.991333283,0.83626966,0.996888802,0.982244127,0.926448969,0.831392074,0.993554562,1.012248861,1.014706167,0.926754195,1.0688449,0.830795495
0.959166796,0.97219029,0.938165489,1.001535123,1.044693269,0.937697807,0.883940961,1.010004579,0.998782711,0.797764919,0.951932018,0.888458634,1.029719193,0.837682358,1.005595059,1.017076149,0.937649443,0.992522257,0.309848824,1.032492865,0.729405242,1.006689341,0.991333283,0.830270595,0.996888802,0.979617806,0.922782285,0.819862754,0.991073776,1.011064944,1.014706167,0.923047179,1.05748931,0.821903188
0.957840147,0.969614952,0.933796848,0.998970373,1.045774732,0.935341783,0.87329107,1.010004579,0.998782711,0.792890591,0.950467507,0.883863159,1.029719193,0.828655608,1.005595059,1.017076149,0.934610061,0.992522257,0.297131149,1.03127098,0.719839271,1.006689341,0.990444992,0.82427153,0.996888802,0.978304645,0.917893372,0.807052398,0.989833384,1.011064944,1.014706167,0.921811506,1.043294823,0.814281211
0.956513499,0.967039613,0.928336048,0.997687997,1.047937658,0.93416377,0.862641179,1.010004579,0.997307404,0.786391488,0.949002996,0.879267683,1.030973419,0.823239558,1.005595059,1.017076149,0.931570678,0.991832527,0.286725778,1.03127098,0.709077555,1.006689341,0.990444992,0.815872839,0.996888802,0.975678324,0.913004459,0.794242043,0.987352598,1.011064944,1.013522146,0.919340162,1.030519784,0.806659234
0.953860202,0.964464275,0.922875248,0.995123247,1.047937658,0.932985758,0.853512701,1.011299457,0.995832097,0.779892385,0.946073975,0.874672207,1.029719193,0.814212809,1.005595059,1.017076149,0.927011605,0.991832527,0.277476559,1.030049095,0.700707331,1.006689341,0.990444992,0.811073587,0.996888802,0.973052003,0.908115546,0.781431687,0.986112206,1.009881028,1.013522146,0.91810449,1.016325297,0.797766928
0.951206905,0.960601267,0.918506608,0.992558496,1.049019121,0.930629733,0.841341397,1.011299457,0.997307404,0.771768506,0.944609464,0.868544906,1.029719193,0.806991409,1.005595059,1.017076149,0.922452532,0.991832527,0.269383493,1.02882721,0.692337106,1.006689341,0.9895567,0.802674896,0.996888802,0.971738842,0.902004405,0.767340296,0.984871813,1.009881028,1.013522146,0.915633145,1.000711361,0.788874621
0.948553609,0.956738259,0.913045807,0.991276121,1.050100584,0.928273709,0.829170093,1.011299457,0.995832097,0.763644627,0.943144953,0.863949431,1.028464968,0.79977001,1.007114085,1.017076149,0.919413149,0.991832527,0.263602731,1.027605325,0.685162629,1.006689341,0.988668409,0.795476018,0.996888802,0.969112521,0.897115493,0.753248905,0.98363142,1.008697111,1.012338125,0.914397473,0.983677976,0.778711985
